scenario,iteration,http_status,cache_status,backend,instance,time_ms
cold-cache,1,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,34.411
cold-cache,2,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,9.956
cold-cache,3,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,8.826
cold-cache,4,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,20.990
cold-cache,5,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,9.095
cold-cache,6,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,13.829
cold-cache,7,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,229.940
cold-cache,8,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,11.039
cold-cache,9,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,8.210
cold-cache,10,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,13.853
cold-cache,11,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.712
cold-cache,12,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.696
cold-cache,13,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.702
cold-cache,14,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.767
cold-cache,15,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,10.329
cold-cache,16,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.992
cold-cache,17,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,10.857
cold-cache,18,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,10.516
cold-cache,19,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,11.433
cold-cache,20,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,10.859
cold-cache,21,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.468
cold-cache,22,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.074
cold-cache,23,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.208
cold-cache,24,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,13.857
cold-cache,25,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,14.654
cold-cache,26,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,8.531
cold-cache,27,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,9.995
cold-cache,28,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,8.686
cold-cache,29,200,miss,10.110.207.51:8080,search-api-8557d46548-pstrg,10.111
cold-cache,30,200,miss,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.189
hot-cache,1,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,9.685
hot-cache,2,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,11.107
hot-cache,3,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,6.209
hot-cache,4,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,6.261
hot-cache,5,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.717
hot-cache,6,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,5.935
hot-cache,7,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.130
hot-cache,8,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,8.989
hot-cache,9,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.777
hot-cache,10,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.620
hot-cache,11,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,6.602
hot-cache,12,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,7.087
hot-cache,13,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,8.358
hot-cache,14,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,7.998
hot-cache,15,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,5.641
hot-cache,16,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,8.310
hot-cache,17,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,6.434
hot-cache,18,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.837
hot-cache,19,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,10.947
hot-cache,20,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,9.550
hot-cache,21,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,7.183
hot-cache,22,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,5.842
hot-cache,23,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,7.537
hot-cache,24,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,8.239
hot-cache,25,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,5.820
hot-cache,26,200,hit,10.110.207.51:8080,search-api-8557d46548-pstrg,5.887
hot-cache,27,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,11.874
hot-cache,28,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,5.767
hot-cache,29,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,6.088
hot-cache,30,200,hit,10.110.207.51:8080,search-api-8557d46548-8nkx8,6.357
