scenario,iteration,http_status,cache_status,backend,instance,time_ms
cold-cache,1,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,8.334
cold-cache,2,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,8.610
cold-cache,3,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.540
cold-cache,4,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.813
cold-cache,5,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.749
cold-cache,6,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,9.568
cold-cache,7,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,10.674
cold-cache,8,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,6.793
cold-cache,9,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,8.732
cold-cache,10,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.598
cold-cache,11,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.949
cold-cache,12,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.501
cold-cache,13,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.260
cold-cache,14,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.445
cold-cache,15,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.302
cold-cache,16,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.477
cold-cache,17,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.026
cold-cache,18,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,8.076
cold-cache,19,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.528
cold-cache,20,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.327
cold-cache,21,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,7.123
cold-cache,22,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.593
cold-cache,23,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.812
cold-cache,24,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.326
cold-cache,25,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.244
cold-cache,26,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.960
cold-cache,27,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.836
cold-cache,28,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,9.043
cold-cache,29,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,7.485
cold-cache,30,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.095
cold-cache,31,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.225
cold-cache,32,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.315
cold-cache,33,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.989
cold-cache,34,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.027
cold-cache,35,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.489
cold-cache,36,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.646
cold-cache,37,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.832
cold-cache,38,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.194
cold-cache,39,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,3.792
cold-cache,40,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,3.291
cold-cache,41,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.044
cold-cache,42,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,6.048
cold-cache,43,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,3.665
cold-cache,44,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.344
cold-cache,45,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,3.787
cold-cache,46,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,3.969
cold-cache,47,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.311
cold-cache,48,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.474
cold-cache,49,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,7.596
cold-cache,50,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,7.181
cold-cache,51,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.494
cold-cache,52,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.822
cold-cache,53,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.618
cold-cache,54,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.452
cold-cache,55,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.702
cold-cache,56,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.969
cold-cache,57,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.956
cold-cache,58,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.645
cold-cache,59,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,7.168
cold-cache,60,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.505
cold-cache,61,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.037
cold-cache,62,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.716
cold-cache,63,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.242
cold-cache,64,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.702
cold-cache,65,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.999
cold-cache,66,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.104
cold-cache,67,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.362
cold-cache,68,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.560
cold-cache,69,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.089
cold-cache,70,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.531
cold-cache,71,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.689
cold-cache,72,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,3.704
cold-cache,73,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.968
cold-cache,74,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.764
cold-cache,75,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.188
cold-cache,76,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,3.679
cold-cache,77,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.656
cold-cache,78,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.603
cold-cache,79,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.008
cold-cache,80,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.540
cold-cache,81,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.723
cold-cache,82,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.260
cold-cache,83,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.413
cold-cache,84,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.685
cold-cache,85,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.777
cold-cache,86,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.081
cold-cache,87,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.458
cold-cache,88,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,15.516
cold-cache,89,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.715
cold-cache,90,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.691
cold-cache,91,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.102
cold-cache,92,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,6.269
cold-cache,93,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,6.849
cold-cache,94,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,6.310
cold-cache,95,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.729
cold-cache,96,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.647
cold-cache,97,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,4.000
cold-cache,98,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,5.447
cold-cache,99,200,miss,search-api-1 (http://searchapi1:8080),search-api-1,5.740
cold-cache,100,200,miss,search-api-2 (http://searchapi2:8080),search-api-2,4.153
hot-cache,1,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.270
hot-cache,2,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.426
hot-cache,3,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.237
hot-cache,4,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.488
hot-cache,5,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.746
hot-cache,6,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.670
hot-cache,7,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.339
hot-cache,8,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.609
hot-cache,9,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.375
hot-cache,10,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.140
hot-cache,11,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.126
hot-cache,12,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.560
hot-cache,13,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.063
hot-cache,14,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.034
hot-cache,15,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.497
hot-cache,16,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.595
hot-cache,17,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.087
hot-cache,18,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,2.787
hot-cache,19,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.492
hot-cache,20,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.108
hot-cache,21,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.806
hot-cache,22,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.564
hot-cache,23,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.861
hot-cache,24,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.030
hot-cache,25,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.786
hot-cache,26,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.095
hot-cache,27,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.596
hot-cache,28,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.984
hot-cache,29,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.085
hot-cache,30,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.842
hot-cache,31,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.155
hot-cache,32,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.545
hot-cache,33,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.572
hot-cache,34,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.602
hot-cache,35,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.219
hot-cache,36,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.895
hot-cache,37,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.701
hot-cache,38,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.975
hot-cache,39,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.801
hot-cache,40,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.387
hot-cache,41,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,6.832
hot-cache,42,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.063
hot-cache,43,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.128
hot-cache,44,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.677
hot-cache,45,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.640
hot-cache,46,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,2.976
hot-cache,47,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.263
hot-cache,48,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.846
hot-cache,49,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.110
hot-cache,50,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.388
hot-cache,51,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.362
hot-cache,52,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.097
hot-cache,53,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.080
hot-cache,54,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.463
hot-cache,55,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.135
hot-cache,56,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.655
hot-cache,57,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.196
hot-cache,58,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.290
hot-cache,59,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.594
hot-cache,60,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.996
hot-cache,61,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.061
hot-cache,62,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.423
hot-cache,63,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.323
hot-cache,64,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.942
hot-cache,65,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.836
hot-cache,66,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.047
hot-cache,67,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.891
hot-cache,68,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.857
hot-cache,69,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,7.121
hot-cache,70,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.683
hot-cache,71,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.410
hot-cache,72,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.751
hot-cache,73,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,6.325
hot-cache,74,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.464
hot-cache,75,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.273
hot-cache,76,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.564
hot-cache,77,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.494
hot-cache,78,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.383
hot-cache,79,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.789
hot-cache,80,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.897
hot-cache,81,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.675
hot-cache,82,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.727
hot-cache,83,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.191
hot-cache,84,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.960
hot-cache,85,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.216
hot-cache,86,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.966
hot-cache,87,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,5.065
hot-cache,88,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,5.335
hot-cache,89,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.390
hot-cache,90,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,5.365
hot-cache,91,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.721
hot-cache,92,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.057
hot-cache,93,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,6.452
hot-cache,94,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.969
hot-cache,95,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,6.534
hot-cache,96,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.709
hot-cache,97,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,3.423
hot-cache,98,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,3.767
hot-cache,99,200,hit,search-api-2 (http://searchapi2:8080),search-api-2,4.728
hot-cache,100,200,hit,search-api-1 (http://searchapi1:8080),search-api-1,4.063
